元からあるタスク,英語名,重さ,types
2000ルピー,2000 Rupees,8.0,"[""Rupee"", ""Ridgeland""]"
3000ルピー,3000 Rupees,10.0,"[""Rupee"", ""Ridgeland""]"
3射以上の弓3つ,3 Three-shot burst bow,6.0,"[""Bow"", ""Hebra"", ""Ridgeland""]"
5000ルピー,5000 Rupees,17.0,"[""Rupee"", ""Ridgeland""]"
○○柄の盾2種,2 types of Shields from Fisherman& Emblazoned & Hunter,4.5,"[""Shield"", ""Faron""]"
○○柄の盾3種,3 types of Shields from Fisherman& Emblazoned & Hunter,7.0,"[""Shield"", ""Faron""]"
がんばりゲージ2周,5 Stamina Vessels,46.0,"[""Shrine""]"
ここ掘れワンワンの全宝箱入手(16個),All Dog Tresures,58.0,"[""Side Quest"", ""Rupee"", ""Hateno"", ""Akkala""]"
ほこらチャレンジ 10つ攻略,10 Shrine Quests,33.0,"[""Shrine Quests"", ""Shrine"", ""Shrines""]"
ほこらチャレンジ 11つ攻略,11 Shrine Quests,37.0,"[""Shrine Quests"", ""Shrine"", ""Shrines""]"
ほこらチャレンジ 12つ攻略,12 Shrine Quests,40.0,"[""Shrine Quests"", ""Shrine"", ""Shrines""]"
ほこらチャレンジ 13つ攻略,Medal of Honor: Molduga,46.0,"[""Shrine Quests"", ""Shrine"", ""Shrines""]"
ほこらチャレンジ 5つ攻略,5 Shrine Quests,18.0,"[""Shrine Quests"", ""Shrine""]"
ほこらチャレンジ 8つ攻略,8 Shrine Quests,28.0,"[""Shrine Quests"", ""Shrine"", ""Shrines""]"
ほこらチャレンジ 9つ攻略,9 Shrine Quests,31.0,"[""Shrine Quests"", ""Shrine"", ""Shrines""]"
ほこらチャレンジ:ガーディアンを見たい！,Guardian Slideshow' Shrine Quest,19.0,"[""Shrine Quests"", ""Shrine"", ""Camera"", ""Lake"", ""Hateno"", ""Dueling Peaks"", """"]"
ほこらチャレンジ:ドクロの左目,The Skull's Eye' Shrine Quest,13.0,"[""Shrine Quests"", ""Shrine"", ""Camera"", ""Akkala"", ""Hateno"", ""Dueling Peaks"", """"]"
ほこらチャレンジ:リトの兄弟岩,Recital at Warbler's Nest' Shrine Quest,27.0,"[""Shrine Quests"", ""Shrine"", ""Tabantha""]"
ほこらチャレンジ:大蛇喰らいし龍,The Serpent's Jaws' Shrine Quest,12.0,"[""Shrine Quests"", ""Shrine"", ""Lake""]"
ほこらチャレンジ:巨人三兄弟の秘密,Three Giant Brothers' Shrine Quest,9.0,"[""Shrine Quests"", ""Shrine"", ""Faron""]"
ほこらチャレンジ:暗闇の試練,Shrouded Shrine' Shrine Quest,5.0,"[""Shrine Quests"", ""Shrine"", ""Woodland""]"
ほこらチャレンジ:盗まれた宝珠,The Stolen Heirloom' Shrine Quest,28.0,"[""Shrine Quests"", ""Shrine"", ""Camera"", ""Great Fairy"", ""Hateno"", ""Dueling Peaks"", """"]"
