元からあるタスク,重さ
○○柄の盾2種,4.5
○○柄の盾3種,7
2000ルピー,8
3000ルピー,10
3射以上の弓3つ,6
5000ルピー,17
イワロック、マグロック、ガチロック1体ずつ討伐,18
イワロック5体討伐 (どの種でも可),12
ウルボザの怒り,35
ウワサのミツバちゃん3巻読破,6
ウワサのミツバちゃん5巻読破,10
ウワサのミツバちゃん7巻読破,14
エノキダ結婚,47
ガーディアンを倒して力の試練の祠10基攻略,49
ガーディアンを倒して力の試練の祠3基攻略,20
ガーディアンを倒して力の試練の祠5基攻略,27
ガーディアンを倒して力の試練の祠8基攻略,40
カッシーワのチャレンジ4種,19
カッシーワのチャレンジ5種,23
カッシーワのチャレンジ6種,29
カッシーワのチャレンジ7種,37
ガノン討伐,25
がんばりゲージ2周,46
ギャンブルで連続大当たり,9
ゴージャス馬装備一式,9
ここ掘れワンワンの全宝箱入手(16個),58
シーカーセンサー+,13
シーカータワー 4基起動,11
シーカータワー 5基起動,13.5
シーカータワー 6基起動,16
シーカータワー 7基起動,19
ズーム弓2種類,7
ゾーラの兜★,11
ゾーラ装備一式,35
ダルケルの護り,30
チュチュゼリー全種,5
ネルドラ解放,10
ハートミルクスープ,8
ハイラルなぞなぞしれんでビリビリマスを見せる,13
ハイラルなぞなぞしれんでヨロイカボチャを見せる,6
ハイラル図鑑 生き物 20種登録（購入不可）,22
ハイラル図鑑 生き物 30種登録（購入不可）,34
ハイラル図鑑 生き物 40種登録（購入不可）,50
ハイラル図鑑 武器 20種登録（購入不可）,18
ハイラル図鑑 武器 30種登録（購入不可）,28
ハイラル図鑑 武器 40種登録（購入不可）,38
ハイラル図鑑 魔物 20種登録（購入不可）,25
ハイラル図鑑 魔物 30種登録（購入不可）,36
ハイラル図鑑 魔物 40種登録（購入不可）,53
ハイリアのフード★★★★,60
ビタロック+,20
ヒノックス10体討伐 (どの種でも可),28
ヒノックス15体討伐 (どの種でも可),42
ヒノックス20体討伐 (どの種でも可),56
ヒノックス5体討伐 (どの種でも可),14
ほこらチャレンジ 10つ攻略,33
ほこらチャレンジ 11つ攻略,37
ほこらチャレンジ 12つ攻略,40
ほこらチャレンジ 13つ攻略,46
ほこらチャレンジ 5つ攻略,18
ほこらチャレンジ 8つ攻略,28
ほこらチャレンジ 9つ攻略,31
ほこらチャレンジ:ガーディアンを見たい！,19
ほこらチャレンジ:ドクロの左目,13
ほこらチャレンジ:リトの兄弟岩,27
ほこらチャレンジ:暗闇の試練,5
ほこらチャレンジ:巨人三兄弟の秘密,9
ほこらチャレンジ:石碑のかけら探し,14
ほこらチャレンジ:大蛇喰らいし龍,12
ほこらチャレンジ:盗まれた宝珠,28
ほしのかけら3個,7
ほしのかけら4個,10
ほしのかけら5個,13
マモノ馬装備一式,58
ミニゲーム:雪玉ボウルでストライク,5
ミニゲーム:鳥人間チャレンジ 7000m以上滑空,4
ミニゲーム:飛行訓練 的を20個射抜く,22
ミニゲーム10種クリア,65
ミニゲーム11種クリア,77
ミニゲーム3種クリア,13
ミニゲーム5種クリア,22
ミニゲーム7種クリア,32
ミニゲーム8種クリア,36
ミニゲーム9種クリア,50
ミニチャレンジ: ゲルドの至宝 雷鳴の兜！,60
ミニチャレンジ:コログしれん,21
ミニチャレンジ:ハイラルなぞなぞしれん,28
ミニチャレンジ:ぴかぴかのルミーしれん,16
ミニチャレンジ:ホタル ノ ヒカリ,20
ミニチャレンジ:もう一人の研究者,12
ミニチャレンジ:解放 さらなる力,28
